contigIdx	contigIdxMate	AvgCoverage
97	97	32.3053
98	78	0.51355
98	98	36.997
99	14	0.0321581
99	99	73.5106
99	130	0.0131732
99	157	0.00368074
99	199	0.00503681
99	215	0.0277024
99	270	0.0507555
99	272	0.0135606
99	276	0.0078458
100	82	0.00341705
100	100	33.5184
101	45	0.00961021
101	89	0.0116091
101	101	59.0141
101	111	0.556316
101	130	0.0029215
101	148	0.220497
101	166	0.0159145
101	173	0.018836
101	183	0.0137618
101	217	0.0116091
101	228	0.00399785
101	239	0.012378
101	276	0.0408242
102	20	0.332265
102	102	39.7479
102	188	0.938568
103	94	0.552726
103	103	39.2699
103	188	0.0734023
103	203	0.00422932
104	104	30.3914
105	39	0.018111
105	45	0.0155892
105	105	64.384
105	130	0.0229253
105	135	1.02957
105	167	0.0456213
105	215	0.0165062
105	256	0.0135259
105	283	0.00687758
105	302	0.480055
106	106	30.7936
107	107	32.5056
107	269	0.0182701
107	303	0.0397246
108	108	70.1527
108	141	0.00123553
108	148	0.00164738
108	153	0.00621885
108	166	0.0186566
108	204	0.00621885
108	214	0.00189449
108	217	0.0037066
108	256	0.00177093
108	276	0.00177093
108	311	0.00461266
109	109	39.7886
109	145	0.79086
109	182	0.137107
110	110	22.3583
110	117	0.00139318
110	232	0.103618
110	265	0.0016544
111	101	2.1181
111	111	46.9575
111	166	1.11862
112	6	0.0700793
112	33	0.0376227
112	63	0.106203
112	112	42.7265
112	121	0.00579722
112	235	0.0219663
112	238	0.129984
112	248	0.156643
112	252	0.0494538
112	268	0.00595496
112	284	0.0683835
113	113	64.9604
113	191	0.532371
113	246	0.836951
114	6	1.19887
114	68	0.221946
114	114	32.1215
114	316	0.228959
115	17	0.00201789
115	36	0.145355
115	86	0.00699536
115	115	72.2553
115	153	0.0203134
115	166	0.0101567
115	181	0.00343042
115	256	0.0139235
115	271	0.00221968
115	311	0.00605368
115	312	0.00417031
116	116	14.2459
117	51	0.000927954
117	110	0.000433045
117	117	21.0177
117	158	0.0118036
117	164	0.0223946
117	224	0.00118778
117	265	0.000371181
117	303	0.000371181
118	118	34.2692
118	127	0.518257
118	187	0.38753
119	58	0.0194507
119	119	32.8638
120	120	15.5286
121	6	0.227443
121	33	0.00796129
121	112	0.0192007
121	121	36.9313
121	236	0.367156
121	238	0.0115517
121	248	0.0173275
121	284	0.0218545
122	16	0.000987817
122	37	0.000371487
122	44	0.00749728
122	89	0.000346158
122	122	74.5346
122	141	0.000396815
122	148	0.0254806
122	157	0.000261729
122	204	0.000160415
122	239	0.000371487
122	256	0.000734531
122	271	0.000472801
122	276	0.00206851
122	319	0.000346158
123	123	35.3242
123	149	0.277517
124	124	34.719
125	125	19.1348
125	218	0.0578604
125	265	0.0566434
126	28	0.0264073
126	64	0.0656457
126	126	13.7399
127	118	0.289273
127	127	36.4114
127	238	0.00337936
128	128	61.2364
128	272	2.07554
129	88	0.234146
129	129	40.0894
129	288	0.241397
130	17	0.0154962
130	84	0.00682573
130	105	0.00725618
130	122	0.00461198
130	130	71.2326
130	183	0.00805559
130	287	0.5
131	131	33.3479
131	169	0.784364
132	132	41.3015
132	238	0.764654
132	309	0.709011
133	17	0.0258591
133	59	0.204491
133	133	25.2314
133	193	0.152433
133	205	0.617557
134	134	19.6251
134	303	0.0716322
135	14	0.0183637
135	46	0.00210132
135	85	0.00269517
135	105	0.152985
135	135	64.1299
135	157	0.00219268
135	196	0.00283221
135	222	0.00251245
135	276	0.00415696
135	282	0.00223836
136	9	0.0196828
136	136	35.8454
137	69	1.56342
137	137	39.4926
138	138	23.4796
138	212	0.151224
139	77	0.166707
139	139	76.8604
140	140	40.242
140	178	0.303775
141	74	0.000573113
141	85	0.000540364
141	141	69.7972
141	148	0.0437694
141	159	0.000720485
141	195	0.000556738
141	201	0.0023252
141	205	0.0025872
141	222	0.00186671
141	272	0.00160472
141	302	0.00119535
141	311	0.000605862
141	312	0.00332405
141	313	0.00545276
142	142	72.9438
143	73	0.253261
143	143	35.4317
143	169	0.335448
144	27	0.00157393
144	117	0.000368212
144	144	23.1618
144	164	0.000209376
144	246	0.000238255
144	249	0.0100067
145	109	1.67429
145	145	21.4617
146	146	34.7845
147	6	0.00792142
147	147	31.1543
147	260	0.601394
147	291	0.0167934
148	30	0.00702152
148	89	0.295583
148	101	0.457984
148	122	0.498075
148	141	0.430125
148	148	78.5062
148	173	0.729332
148	177	0.427407
148	205	0.00973952
148	220	0.649377
148	222	0.0342016
149	123	0.272219
149	149	32.9349
150	150	41.5993
150	266	0.550064
150	314	0.559525
151	9	0.129739
151	11	0.00180987
151	112	0.00952562
151	151	36.6343
151	168	0.0120975
151	235	0.0142884
152	152	37.158
153	108	0.0148076
153	115	0.0299395
153	153	69.2519
153	193	0.0649589
153	199	0.00756593
153	214	0.0556636
153	217	0.00713359
153	246	0.00734976
153	250	0.0182663
153	256	0.0152399
153	271	0.00734976
153	276	0.0286425
153	295	0.0136187
153	302	0.0383701
153	319	0.00464764
154	35	0.162033
154	44	0.00260293
154	154	66.8809
155	155	56.0721
155	245	2.0953
156	156	44.4731
156	254	0.00664074
156	262	0.396547
156	282	0.0175505
157	71	1.9138
157	157	39.5592
158	117	0.0695687
158	158	20.5046
158	232	0.00456094
159	159	69.9519
159	273	1.96803
159	277	1.98415
160	6	0.0329595
160	62	0.0109865
160	112	0.00709545
160	160	31.5873
160	170	0.310369
160	284	0.00984207
161	161	74.5032
161	201	0.0134014
161	217	0.0660498
161	222	1.41289
161	259	1.07179
161	283	0.0277601
162	162	16.614
162	164	1.03442
163	35	0.877535
163	163	29.2851
164	117	0.0282054
164	144	0.000399215
164	162	0.00144065
164	164	20.2382
165	165	37.9245
165	171	0.408672
166	16	0.107755
166	17	0.107499
166	35	0.0711543
166	45	0.173791
166	84	0.0122856
166	85	0.182493
166	86	0.0724341
166	108	0.108779
166	111	1.27105
166	115	0.0378807
166	166	51.8398
166	214	0.0202201
166	217	0.157922
166	221	0.046839
166	256	0.215511
166	273	0.0161249
166	275	0.015613
166	276	0.0486307
166	282	0.0191963
166	295	0.0276427
166	302	0.0706424
166	313	0.229076
167	37	0.00219682
167	45	0.0351491
167	65	0.00173814
167	85	0.000615593
167	167	74.755
167	199	0.000796649
167	214	0.000229338
167	276	0.000724227
167	302	0.000567311
167	311	0.000844931
168	151	0.00219331
168	168	40.4925
168	248	0.00189422
169	131	1.79561
169	143	1.48794
169	169	29.5266
170	83	0.741971
170	160	0.620093
170	170	32.7949
171	165	0.273613
171	171	36.1447
171	197	0.304717
172	172	26.0031
172	232	0.0710682
173	47	0.0863597
173	70	0.811839
173	89	0.241636
173	148	1.11124
173	173	52.7549
174	174	32.1619
174	200	1.15712
174	209	1.78624
175	175	40.7217
175	288	0.772502
176	176	20.4712
176	218	0.536189
176	265	1.09897
177	35	0.00600046
177	85	0.00276944
177	99	0.00330795
177	122	0.00323102
177	148	0.290099
177	156	0.00892376
177	177	63.1489
177	196	0.0203093
177	205	0.00807754
177	222	0.0053081
177	256	0.00938534
177	272	0.00453881
177	276	0.00492346
177	282	0.00553889
177	302	0.00969305
177	312	0.00392338
178	140	0.338071
178	178	36.0359
179	92	1.01996
179	179	33.6291
180	180	35.3159
181	17	0.0104306
181	25	0.00936079
181	36	0.250201
181	37	0.00936079
181	65	0.00401177
181	115	0.00802354
181	141	0.0152447
181	181	69.7807
181	214	0.00601765
181	221	0.0052153
181	254	0.110859
181	312	0.00895961
182	89	0.00470588
